Model Name,Description,Display As,String Type,String Count,Node Count,Light Count,Est Current (Amps),Channels Per Node, Channel Count,Start Channel,Start Channel No,End Channel No,Preview,Controller Connection,Controller Type,Controller Description,Output,IP,Universe,Controller Channel,Inactive
"led door","","Custom","Single Color White",1,1,35,,1,1,6,6,6,Default,,LOR,"",1,/dev/cu.usbserial-A901BF83,57600,6,TRUE
"led drip tubes in trees","","Custom","Single Color White",1,1,29,,1,1,31,31,31,Default,,LOR,"",1,/dev/cu.usbserial-A901BF83,57600,31,TRUE
"led outside sidewalk multicolor","","Custom","Single Color Custom",1,1,416,,1,1,32,32,32,Default,,LOR,"",1,/dev/cu.usbserial-A901BF83,57600,32,TRUE
"led purple bush","","Custom","Single Color Custom",1,1,50,,1,1,9,9,9,Default,,LOR,"",1,/dev/cu.usbserial-A901BF83,57600,9,TRUE
"led roof of house","","Custom","Single Color White",1,1,124,,1,1,1,1,1,Default,,LOR,"",1,/dev/cu.usbserial-A901BF83,57600,1,TRUE
"led sidewalk outline inside","","Custom","Single Color Custom",1,1,40,,1,1,2,2,2,Default,,LOR,"",1,/dev/cu.usbserial-A901BF83,57600,2,TRUE
"led stars in window","","Custom","Single Color White",1,1,10,,1,1,5,5,5,Default,,LOR,"",1,/dev/cu.usbserial-A901BF83,57600,5,TRUE
"led twinklers","","Custom","Single Color White",1,1,30,,1,1,4,4,4,Default,,LOR,"",1,/dev/cu.usbserial-A901BF83,57600,4,TRUE
"p10 matrix","p10matrix","ModelGroup",,,,,,,9216,,7528,16743,Default,,,,,,,
"p10matrix","","Matrix","RGB Nodes",48,3072,3072,184.32,3,9216,#59:1,7528,16743,Default,,E131,"",22,MULTICAST,59,1,FALSE
"tree trunk left multicolor","","Custom","Single Color Custom",1,1,54,,1,1,28,28,28,Default,,LOR,"",1,/dev/cu.usbserial-A901BF83,57600,28,TRUE
"tree trunk left white","","Custom","Single Color White",1,1,54,,1,1,27,27,27,Default,,LOR,"",1,/dev/cu.usbserial-A901BF83,57600,27,TRUE
"tree trunk right multicolor","","Custom","Single Color Custom",1,1,54,,1,1,30,30,30,Default,,LOR,"",1,/dev/cu.usbserial-A901BF83,57600,30,TRUE
"tree trunk right white","","Custom","Single Color White",1,1,54,,1,1,29,29,29,Default,,LOR,"",1,/dev/cu.usbserial-A901BF83,57600,29,TRUE

"Model Count",101
"First Used Channel",1
"Last Used Channel",16743
"Actual Used Channel",14445
"Bulbs",5158
